"Smtp Mailer","Smtp Mailer"
"Smtp Mailer Section","Smtp Mailer Section"
"Smtp Settings for Transactional Emails","Smtp Settings for Transactional Emails"
"Enable Smtp Transport","Enable Smtp Transport"
"Connection Security","Connection Security"
"Host","Host"
"Port","Port"
"Authentication Method","Authentication Method"
"Username","Username"
"Password","Password"
"Smtp Settings for Newsletter Emails","Smtp Settings for Newsletter Emails"
"Use Same Settings as Transactional Emails","Use Same Settings as Transactional Emails"
